0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 92, 197, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 29, 159, 152, 155, 76, 98, 58, 0, 0, 72, 76, 76, 60, 0
0, 0, 73, 67, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 60, 111, 0, 0, 0, 0
0, 0, 78, 78, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0
0, 0, 76, 76, 0, 31, 39, 233, 114, 104, 38, 39, 38, 39, 224, 0, 0, 0, 0, 0
0, 0, 73, 111, 78, 95, 39, 66, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0
0, 0, 11, 118, 0, 0, 0, 38, 0, 0, 0, 113, 42, 67, 87, 0, 0, 0, 0, 0
0, 0, 0, 103, 6, 0, 0, 58, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 17, 174, 54, 0, 104, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 108, 94, 77, 122, 962, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 723, 0
0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0
0, 0, 0, 0, 100, 38, 39, 38, 39, 38, 68, 45, 97, 0, 0, 48, 91, 114, 92, 0
0, 0, 0, 99, 55, 38, 39, 38, 39, 38, 138, 0, 38, 0, 0, 128, 0, 0, 0, 0
0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 115, 0, 38, 0, 0, 76, 0, 0, 28, 114
0, 0, 0, 143, 77, 76, 99, 76, 2049, 0, 115, 0, 39, 32, 39, 74, 54, 84, 43, 0
0, 0, 86, 104, 0, 0, 0, 0, 0, 0, 115, 0, 55, 71, 0, 0, 0, 118, 0, 0
0, 81, 109, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 36, 0, 0, 0, 76, 0, 0
0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 76, 0, 0
0, 455, 156, 117, 161, 115, 116, 115, 121, 141, 138, 0, 0, 0, 0, 0, 0, 71, 0, 0
